japanese name,display name,sort name,slug,disambig_chars
斉藤幸一,Saitô Kôichi,saito koichi,saito-koichi-5e78-4e00,幸一
コトリンゴ,Kotringo,kotringo,kotringo,
鎌苅洋一,Kamakari Yôichi,kamakari yoichi,kamakari-yoichi,
竹内公一,Takeuchi Kôichi,takeuchi koichi,takeuchi-koichi,
加藤大和,Katô Hirokazu,kato hirokazu,kato-hirokazu,
高須賀健吾,Takasuga Kengo,takasuga kengo,takasuga-kengo,
上田慎一郎,Ueda Shin’ichirô,ueda shinichiro,ueda-shinichiro,
野尻克己,Nojiri Katsumi,nojiri katsumi,nojiri-katsumi,
柄本佑,Emoto Tasuku,emoto tasuku,emoto-tasuku,
月永雄太,Tsukinaga Yûta,tsukinaga yuta,tsukinaga-yuta,
堀明元紀,Horiaki Motoki,horiaki motoki,horiaki-motoki,
吉田憲義,Yoshida Noriyoshi,yoshida noriyoshi,yoshida-noriyoshi,
石川慶,Ishikawa Kei,ishikawa kei,ishikawa-kei,
成田凌,Narita Ryô,narita ryo,narita-ryo,
シム・ウンギョン,Shim Eun-kyung,shim eun kyung,shim-eun-kyung,
吉澤健,Yoshizawa Ken,yoshizawa ken,yoshizawa-ken,
クリストファー・ドイル,Christopher Doyle,doyle christopher,doyle-christopher,
河瀬直美,Kawase Naomi,kawase naomi,kawase-naomi,
水川あさみ,Mizukawa Asami,mizukawa asami,mizukawa-asami,
宇野祥平,Uno Shôhei,uno shohei,uno-shohei,
蒔田彩珠,Makita Aju,makita aju,makita-aju,
西村博光,Nishimura Hiromitsu,nishimura hiromitsu,nishimura-hiromitsu,
露木恵美子,Tsuyuki Emiko,tsuyuki emiko,tsuyuki-emiko,
渋谷慶一郎,Shibuya Keiichirô,shibuya keiichiro,shibuya-keiichiro,
藤丸和徳,Fujimaru Kazunori,fumijaru kazunori,fujimaru-kazunori,
濱口竜介,Hamaguchi Ryûsuke,hamaguchi ryusuke,hamaguchi-ryusuke,
吉田恵輔,Yoshida Keisuke,yoshida keisuke,yoshida-keisuke,
尾野真千子,Ono Machiko,ono machiko,ono-machiko,
仲野太賀,Nakano Taiga,nakano taiga,nakano-taiga,
清原果耶,Kiyohara Kaya,kiyohara kaya,kiyohara-kaya,
林正樹,Hayashi Masaki,hayashi masaki,hayashi-masaki,
浦田和治,Urata Tomoharu,urata tomoharu,urata-tomoharu,
三宅唱,Miyake Shô,miyake sho,miyake-sho,
早川千絵,Hayakawa Chie,hayakawa chie,hayakawa-chie,
岸井ゆきの,Kishii Yukino,kishii yukino,kishii-yukino,
伊東蒼,Itô Aoi,ito aoi,ito-aoi,
青葉市子,Aoba Ichiko,aoba ichiko,aoba-ichiko,
川井崇満,Kawai Takamitsu,kawai takamitsu,kawai-takamitsu,
杉咲花,Sugisaki Hana,sugisaki hana,sugisaki-hana,
宮沢氷魚,Miyazawa Hio,miyazawa hio,miyazawa-hio,
広瀬すず,Hirosue Suzu,hirosue suzu,hirosue-suzu,
