adams-nick,nugent-carol,spouse,
anzai-kyoko,mihashi-tatsuya,spouse,
chiaki-minoru,sasaki-katsuhiko,son,1
chiaki-minoru,sasaki-takamaru,father_in_law,2
dan-ikuma,dan-ino,father,1
dan-ikuma,dan-takuma,grandfather,2
dunham-robert,frost-emiko,daughter,
echigo-ken,terasawa-hiroko,spouse,
funato-jun,iwai-yumi,spouse,
hirata-akihiko,kuga-yoshiko,spouse,
honda-ishiro,honda-kimi,spouse,
ito-emi,sawada-kenji,spouse,
ito-jerry,senda-koreya,uncle,
kayama-yuzo,uehara-ken,father,
koseki-yuji,uchiyama-kinko,spouse,
kuga-yoshiko,hirata-akihiko,spouse,
kurobe-susumu,yoshimoto-takami,daughter,
kusabue-mitsuko,akutagawa-yasushi,spouse,
mihashi-tatsuya,anzai-kyoko,spouse,
mizuno-junichi,mizuno-kumi,mother,
mizuno-kumi,mizuno-junichi,son,
nakagawa-anna,senda-koreya,grandfather,
nakajima-haruo,nakajima-sonoe,daughter,
nakakita-chieko,tanaka-tomoyuki,spouse,
otowa-nobuko,shindo-kaneto,spouse,
sasaki-katsuhiko,chiaki-minoru,father,1
sasaki-katsuhiko,sasaki-takamaru,grandfather,2
sasaki-takamaru,chiaki-minoru,son_in_law,1
sasaki-takamaru,sasaki-katsuhiko,grandson,2
sato-shimako,yamazaki-takashi,spouse,
senda-koreya,ito-jerry,nephew,1
senda-koreya,nakagawa-anna,granddaughter,2
shindo-kaneto,otowa-nobuko,spouse,
shirakawa-yumi,nitani-hideaki,spouse,
takarada-akira,kojima-akiko,spouse,
takashima-masahiro,takashima-tadao,father,
takashima-masanobu,takashima-tadao,father,
takashima-tadao,takashima-michio,son,1
takashima-tadao,takashima-masahiro,son,2
takashima-tadao,takashima-masanobu,son,3
tanaka-tomoyuki,nakakita-chieko,spouse,
taniguchi-senkichi,mizuki-yoko,spouse,1
taniguchi-senkichi,wakayama-setsuko,spouse,2
taniguchi-senkichi,yachigusa-kaoru,spouse,3
tsuburaya-eiji,tsuburaya-masano,spouse,
uehara-ken,kozakura-yoko,spouse,1
uehara-ken,obayashi-masami,spouse,2
uehara-ken,kayama-yuzo,son,
wakayama-setsuko,taniguchi-senkichi,spouse,
yachigusa-kaoru,taniguchi-senkichi,spouse,
yamazaki-takashi,sato-shimako,spouse,
yoshimoto-takami,kurobe-susumu,father,
